Key;Area;Address;ValueType;Unit;Scale;Offset;Note
Cmd_BallDriveEnable;Coil;300;Bool;;;0.0;HMI→PLC 球驱动使能
Cmd_DiskDriveEnable;Coil;301;Bool;;;0.0;HMI→PLC 盘驱动使能
Cmd_PressDriveEnable;Coil;302;Bool;;;0.0;HMI→PLC 下压驱动使能
Cmd_TotalReset;Coil;303;Bool;;;0.0;HMI→PLC 总复位
Cmd_TotalStop;Coil;304;Bool;;;0.0;HMI→PLC 总停止
Cmd_P22_BallStart;Coil;305;Bool;;;0.0;HMI→PLC P22球_运动开始
Cmd_P22_BallReset;Coil;306;Bool;;;0.0;HMI→PLC P22球_运动复位
Cmd_P22_DiskStart;Coil;307;Bool;;;0.0;HMI→PLC P22盘_运动开始
Cmd_P22_DiskReset;Coil;308;Bool;;;0.0;HMI→PLC P22盘_运动复位
Cmd_P24_BallStart;Coil;309;Bool;;;0.0;HMI→PLC P24球_运动开始
Cmd_P24_BallReset;Coil;310;Bool;;;0.0;HMI→PLC P24球_运动复位
Cmd_P24_DiskStart;Coil;311;Bool;;;0.0;HMI→PLC P24盘_运动开始
Cmd_P24_DiskReset;Coil;312;Bool;;;0.0;HMI→PLC P24盘_运动复位
Cmd_P26_Start;Coil;313;Bool;;;0.0;HMI→PLC P26_运动开始
Cmd_P26_Reset;Coil;314;Bool;;;0.0;HMI→PLC P26_运动复位
Cmd_PressStart;Coil;329;Bool;;;0.0;HMI→PLC 下压电机控制-运动开始
Cmd_PressReset;Coil;316;Bool;;;0.0;HMI→PLC 下压电机控制-运动复位
Cmd_Auto1_Start;Coil;317;Bool;;;0.0;HMI→PLC 自动程序1-运动开始
Cmd_Auto1_Reset;Coil;318;Bool;;;0.0;HMI→PLC 自动程序1-运动复位
Cmd_Auto1_CameraDone;Coil;319;Bool;;;0.0;HMI→PLC 自动程序1-相机拍照完成
Cmd_Auto2_Start;Coil;320;Bool;;;0.0;HMI→PLC 自动程序2-运动开始
Cmd_Auto2_Reset;Coil;321;Bool;;;0.0;HMI→PLC 自动程序2-运动复位
Cmd_Auto2_DataDone;Coil;322;Bool;;;0.0;HMI→PLC 自动程序2-数据记录完成
Cmd_BallJogForwardHold;Coil;323;Bool;;;0.0;HMI→PLC 球_正向点动（按住保持）
Cmd_BallJogReverseHold;Coil;324;Bool;;;0.0;HMI→PLC 球_反向点动（按住保持）
Cmd_DiskJogForwardHold;Coil;325;Bool;;;0.0;HMI→PLC 盘_正向点动（按住保持）
Cmd_DiskJogReverseHold;Coil;326;Bool;;;0.0;HMI→PLC 盘_反向点动（按住保持）
