CodeHex;CodeInt;Note;Name;Cause;Action
0x0000;0;无错误;No_error_DS_301;1. 没有错误，无需检查;
0x3210;12816;总线过压;DC_link_over_voltage_DS_402;1. 母线电压超过驱动器保护阈值 | 2. 因为频繁加减速，电机反向电动势导致母线过压;1. 提高硬件电压输入最大值，但最大值受到驱动器硬件规格限制 | 2. 减小加（减）速度，降低频繁加减速节拍 | 3. 增加再生电阻，开启再生功能，设置合理的开管和关管电压 | 4. 电源处增加制动模块
0x3220;12832;总线欠压;DC_link_under_voltage_DS_402;1. 驱动器供电电源电压不足，低于硬件电压输入最小值;1. 提高DC电源供电母线电压 | 2. 如果是交流驱动器则为硬件电源模块损坏，返厂维修
0x3230;12848;电机过载;Load_error_DS_402;1. 电机运行当前电流（q轴电流）超过电机额定电流，且累计热量超过设定的电机最大热量值（最大热量由电机过载电流持续时间与电流积分确定）;1. 增大电机过载电流持续时间（参数设置->保护限制->电流保护设置），需要确保电机的散热条件良好，能够长期运行电机温度稳定且不超过电机允许运行温度，用户根据实际电机散热情况确定 | 2. 减小加（减）速度，降低频繁加减速节拍，可以减少加速过程中的电流
0x3331;13105;电机动力线缺相;Field_circuit_interrupted_DS_402;1. 电机动力线 U、V、W 存在接触不良，漏接情况;1. 检查电机动力线是否接好，使用万用表测量电机动力线到驱动器接线端子处是否导通
0x4110;16656;环境温度过高错误;Excess_ambient_temperature_DS_402;1. 设备温度超过 设定的设备最大温度;1. 提高设备温度最大值，但有受到硬件规格上限制约 | 2. 驱动器散热条件不佳，改善散热条件，增加风扇或者散热片 | 3. 减小加（减）速度，降低频繁加减速节拍
0x4120;16672;环境温度过低错误;Too_low_ambient_temperature_DS_402;1. 设备温度低于 设定的设备最小温度;1. 降低设备温度最小值，但有受到硬件规格上限制约 | 2. 环境温度太低，改善环境温度条件
0x4310;17168;驱动器过温保护;Excess_temperature_drive_DS_402;1. 设备温度超过 设定的设备最大温度;1. 提高设备温度最大值，但有受到硬件规格上限制约 | 2. 驱动器散热条件不佳，改善散热条件，增加风扇或者散热片 | 3. 减小加（减）速度，降低频繁加减速节拍
0x4320;17184;驱动器低温保护;Too_low_temperature_drive_DS_402;1. 设备温度低于 设定的设备最小温度;1. 降低设备温度最小值，但有受到硬件规格上限制约 | 2. 环境温度太低，改善环境温度条件
0x5441;21569;正、负极限开关同时触发错误;External_inhibit_input_detected_DS_402;1. 检测到正、负极限开关（传感器）状态在同一时刻同时生效;1. 检查正、负极限开关（传感器）信号线是否异常 | 2. 检查并合理安装正、负极限开关（传感器）位置
0x5510;21776;内存错误 参数存储故障;Working_memory_DS_402;1. 末端振动抑制功能参数设置错误 | 2. 系统振动频率过低，无法使用末端振动抑制功能;1. 正确设置系统振动频率、系统振动阻尼比参数 | 2. 如果系统振动频率低于1Hz，需要降低CSP模式控制频率
0x5520;21792;硬件参数存储错误;Program_memory_DS_402;1. 固件版本降级，新版本新增功能参数，降级的版本 | 2. 参数存储发生故障，硬件FLASH损坏 | 3. CPU 正忙 无法处理参数存储;1. 硬件损坏，清楚错误后，点击保存参数依然报错，驱动器重新上电依然报错 | 2. 软件升级版本不兼容，当软件版本发生较大改动时候出现，会在软件升级版本注意事项说明该版本升级会需要清楚存储错误，恢复出厂设置后使用 | 3. 软件降级版本不兼容，原因同2
0x610A;24842;EtherCAT断网故障;Ecat_init_error_DS402;1. ECAT芯片损坏 导致硬件 ECAT芯片初始化错误;1. 硬件损坏 | 2. 固件烧录错误，使用ECAT 固件烧录到了 CAN 版本驱动器，重新确认硬件型号烧录对应固件
0x666B;26219;电机1断路;Field_circuit_interrupted_DS_402;1. 电机动力线 U、V、W 存在接触不良，漏接情况;1. 检查电机动力线是否接好，使用万用表测量电机动力线到驱动器接线端子处是否导通
0x66CB;26315;电机1短路;Drv_error_DS402;1. 硬件过流 导致 DRV nFault 引脚报错 | 2. 纯硬件短路保护与软件无关;1. 在大电流输出下，驱动器散热条件不好，驱动器温度长期处于70摄氏度以上，导致硬件容易误检测到过流 | 2. 电机动力线短路，检查是否相间或相对地短路 | 3. 辨识过程中提示硬件过流信息，电源输出功率不够，辨识过程中因辨识电流过大导致短时间欠压，触发硬件过流保护错误
0x6D6A;28010;抱闸驱动芯片故障;Over_current_brake_chopper_DS_402;1. 检测到两条抱闸控制线间短路;1. 检查抱闸控制接线是否存在短接情况 | 2. 检查抱闸器是否损坏或故障，在接通瞬间产生了大电流
0x7112;28946;抱闸短路错误;Over_current_brake_chopper_DS_402;1. 检测到两条抱闸控制线间短路;1. 检查抱闸控制接线是否存在短接情况 | 2. 检查抱闸器是否损坏或故障，在接通瞬间产生了大电流
0x7121;28961;电机堵转保护;Motor_blocked_DS_402;1. 电机电流持续大于 电机堵转电流阈值相对值（相对电机额定电流）且 电机实际转速低于 电机堵转速度阈值，持续电机堵转检测时间 | 2. 当电机堵转电流阈值为0或者电机堵转速度阈值为0则该保护不生效;1. 增大堵转时间，有些大惯量电机启动电流大 | 2. 排除电机实际是否有堵转情况 | 3. 磁极未对齐，电角度未对齐，进行电角度辨识（寻相）
0x7303;29443;编码器1错误;Resolver_1_fault_DS_402;1. 绝对编码器1 0.5s内20次通讯错误;1. 受到线路干扰，检查编码器屏蔽措施是否到位，推荐使用双绞屏蔽线 | 2. 检查编码器设置参数是否正确 | 3. 检查编码器接线是否正确，接线是否接触不良 | 4. 编码器故障，检查编码器是否损坏 | 5. 增量编码器报错则为硬件或者接线问题导致
0x7304;29444;编码器2错误;Resolver_2_fault_DS_402;1. 绝对编码器2 0.5s内20次通讯错误;1. 受到线路干扰，检查编码器屏蔽措施是否到位，推荐使用双绞屏蔽线 | 2. 检查编码器设置参数是否正确 | 3. 检查编码器接线是否正确，接线是否接触不良 | 4. 编码器故障，检查编码器是否损坏
0x7385;29573;多圈编码器1电池低电压错误;Multiturn_encoder_1_battery_low_voltage_DS_402;1. 目前仅实现多摩川编码器告警 | 2. 未设置多圈值，错误不会产生 | 3. 设置多圈值，以下情况会报错 | a. 驱动器未接电池上电，设置多圈值后，报编码器电池电压低错误，且无法手动清除，需要重新给电池盒连接上，正常供电后可手动清除 | b. 驱动器接电池上电，设置多圈值后，断开电池连接会报电池电压低告警，但不影响驱动器工作。;1. 若未接电池，请将编码器多圈值设为0 | 2. 若接电池，请检查电池连接或更换电池
0x7386;29574;多圈编码器2电池低电压错误;Multiturn_encoder_2_battery_low_voltage_DS_402;1. 目前仅实现多摩川编码器告警 | 2. 未设置多圈值，错误不会产生 | 3. 设置多圈值，以下情况会报错 | a. 驱动器未接电池上电，设置多圈值后，报编码器电池电压低错误，且无法手动清除，需要重新给电池盒连接上，正常供电后可手动清除 | b. 驱动器接电池上电，设置多圈值后，断开电池连接会报电池电压低告警，但不影响驱动器工作。;1. 若未接电池，请将编码器多圈值设为0 | 2. 若接电池，请检查电池连接或更换电池
0x8100;33024;通讯错误;Communication_DS_301;1. link信号丢失，网线接触不良，input口 | 2. IRQ中断连续丢失10次，即主站报文丢失，出现的时候，应该是出错轴及以后所有轴都会同时报错;1. 检查驱动器PE是否连接良好，网线是否受到干扰 | 2. 总线多轴中，比如轴3报错，需要检查轴2 到轴3之间的网线连接是否良好。
